UNITUPI,NAMAUNITUPI,UNITAP,NAMAUNITAP,UNITUP,NAMAUNITUP,KD_PROV,NAMA_PROV,KD_KAB,NAMA_KAB,KD_KEC,NAMA_KEC,KD_DESA,NAMA_DESA,STATUS_DAERAH_3T,x
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122008,RATAWALI,TIDAK,"4.678771330248813, 96.79890504841245"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122009,SEGENE BALIK,TIDAK,"4.71608866575559, 96.7438291510608"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122011,TAWAR MIKO,TIDAK,"4.689449288206024, 96.79468314670767"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122012,TAWARDI,TIDAK,"4.68352797938813, 96.797470730144"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122013,TIMANG RASA,TIDAK,"4.754018527095434, 96.74857305250099"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122014,WIH NONGKAL,TIDAK,"4.704023940797354, 96.76927674282796"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122015,BUKIT RATA,TIDAK,"4.271420659787118, 98.06033285765731"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122016,LUKUB SABUN BARAT,TIDAK,"4.710896006401547, 96.77876531584297"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122017,LUKUB SABUN TENGAH,TIDAK,"4.703533654185686, 96.782019045646"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122018,LUKUB SABUN TIMUR,TIDAK,"4.702497984600332, 96.79140469897564"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122019,WIH NONGKAL TOA,TIDAK,"4.705118096981164, 96.76896775600704"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122021,EMPU BALIK,TIDAK,"4.707164524981281, 96.73782125692762"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122022,BLANG BALIK,TIDAK,"4.7090678112167055, 96.73746999150868"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122023,KALA NONGKAL,TIDAK,"4.711893078785206, 96.75933095965995"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122024,PANTAN JERIK,TIDAK,"4.69688924480012, 96.78273712027625"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012001,BLANG RAKAL,TIDAK,"4.904137472998172, 96.74479234699096"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012002,NEGERI ANTARA,TIDAK,"4.943224765029567, 96.71540642587377"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012003,ALUR CINCIN,TIDAK,"4.891999672601979, 96.73262120295477"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012004,PANTAN SINAKU,TIDAK,"4.918336106980422, 96.80446530771403"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012005,BINTANG BERANGUN,TIDAK,"4.882381345020976, 96.77584877041289"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012006,TAMAN FIRDAUS,TIDAK,"4.872613229166971, 96.78955707486791"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012007,UNING MAS,TIDAK,"4.876158756320676, 96.803158091615"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012008,PERDAMAIAN,TIDAK,"4.898536241578802, 96.7787474533827"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012009,ULU NARON,TIDAK,"4.911435947428348, 96.77307329044484"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012010,PANTAN LAH,TIDAK,"4.963667103976027, 96.66923743543697"
