UNIT UP,NOMOR GARDU,NAMA GARDU,ALAMAT,LATITUDE,LONGITUDE,KAPASITAS TRAFO (kVA),FEEDER,Pemakaian (%),I rata-rata (A),Unbalanced (%),Update
11230 - JANARATA,GD112300126,BUK021-00,TINGKEM ASLI,4.706146,96.868071,50,,,,,
11230 - JANARATA,GD112300127,BUK022-00,TANYUNG,4.698618,96.866443,50,,,,,
11230 - JANARATA,GD112300474,BUK023-00,BUKIT,4.716579,96.835195,50,,,,,
11230 - JANARATA,GD112300128,BUK024-00,KANTOR BUPATI BM,4.703962,96.861165,100,,,,,
11230 - JANARATA,GD112300129,BUK025-00,KUTE KERING,4.698791,96.857925,50,,,,,
11230 - JANARATA,GD112300307,BUK027-00,KUTE KERING,4.697816,96.860571,50,,,,,
11230 - JANARATA,GD112300130,BUK030-00,KUTE KERING 2,4.70109,96.862862,100,,,,,
11230 - JANARATA,GD112300132,BUK031-00,RSUD BM,4.696374,96.861561,100,,,,,
11230 - JANARATA,GD112300350,BUK032-00,PERUMAHAN GIZATAMA,4.699041,96.853331,50,,,,,
11230 - JANARATA,GD112300131,BUK033-00,TERMINAL BM,4.701518,96.8509,25,,,,,
11230 - JANARATA,GD112300351,BUK034-00,REMBELE TIMUR,4.698072,96.845901,50,,,,,
11230 - JANARATA,GD112300352,BUK035-00,TERMINAL BM II,4.714383,96.851327,50,,,,,
11230 - JANARATA,GD112300353,BUK036-00,PERUMAHAN KUTE KERING,4.694267,96.85681,50,,,,,
11230 - JANARATA,GD112300133,BUK037-00,GUNUNG TERITIT,4.68812,96.85467,50,,,,,
11230 - JANARATA,GD112300134,BUK038-00,UNING TERITI,4.687532,96.852238,50,,,,,
11230 - JANARATA,GD112300135,BUK039-00,BLANG PANAS,4.683714,96.846402,100,,,,,
11230 - JANARATA,GD112300314,BUK040-00,URING SP III,4.719372,96.872104,50,,,,,
11230 - JANARATA,GD112300019,BUK041-00,URING SP TIGA,4.719812,96.872308,100,,,,,
11230 - JANARATA,GD112300315,BUK042-00,SP TIGA III,4.720738,96.87268,50,,,,,
11230 - JANARATA,GD112300020,BUK043-00,SIMPANG TIGA,4.722508,96.873591,100,,,,,
11230 - JANARATA,GD112300018,BUK044-00,SIMPANG TIGA (SISIP),4.724185,96.871812,50,,,,,
11230 - JANARATA,GD112300017,BUK045-00,BABUSSALAM,4.725083,96.870114,160,,,,,
11230 - JANARATA,GD112300313,BUK046-00,BALEE ATU,4.725089,96.862438,50,,,,,
11230 - JANARATA,GD112300354,BUK047-00,SMA BALE ATU,4.725785,96.867974,50,,,,,
11230 - JANARATA,GD112300016,BUK048-00,BALE ATU,4.72466,96.859221,100,,,,,
11230 - JANARATA,GD112300015,BUK049-00,BALE ATU (POM),4.724398,96.853925,50,,,,,
11230 - JANARATA,GD112300311,BUK050-00,BALEE ATU,4.726906,96.852253,50,,,,,
11230 - JANARATA,GD112300355,BUK051-00,PAYA JERANGU,4.734344,96.86552,50,,,,,
11230 - JANARATA,GD112300312,BUK052-00,REMBELE,4.724574,96.840485,50,,,,,
11230 - JANARATA,GD112300013,BUK053-00,BANDARA REMBELE,4.724008,96.846899,160,,,,,
11230 - JANARATA,GD112300014,BUK054-00,PASAR TRADISIONAL,4.731178,96.854509,25,,,,,
11230 - JANARATA,GD112300263,BUK055-00,WONOSOBO,4.733498,96.882222,50,,,,,
11230 - JANARATA,GD112300028,BUK056-00,PONDOK GAJAH,4.750847,96.893222,50,,,,,
11230 - JANARATA,GD112300031,BUK057-00,SIDOREJO,4.757198,96.888407,50,,,,,
11230 - JANARATA,GD112300027,BUK058-00,PONDOK SAYUR I,4.744212,96.887431,50,,,,,
11230 - JANARATA,GD112300026,BUK059-00,PONDOK SAYUR,4.742027,96.887381,50,,,,,
11230 - JANARATA,GD112300025,BUK060-00,PANJI MULIA,4.740747,96.886878,50,,,,,
11230 - JANARATA,GD112300329,BUK061-00,PANJI MULIA II,4.740092,96.886522,50,,,,,
11230 - JANARATA,GD112300330,BUK062-00,PANJI MUIA I,4.742292,96.881932,50,,,,,
11230 - JANARATA,GD112300331,BUK063-00,ISAQ BUSUR II,4.716775,96.859463,50,,,,,
11230 - JANARATA,GD112300024,BUK064-00,BUSUR,4.734364,96.883752,50,,,,,
11230 - JANARATA,GD112300023,BUK065-00,BUJANG,4.730447,96.878292,50,,,,,
11230 - JANARATA,GD112300022,BUK066-00,BALE SIMPANG TIGA,4.725884,96.875513,50,,,,,
11230 - JANARATA,GD112300021,BUK067-00,SIMPANG TIGA I,4.7254,96.875203,50,,,,,
11230 - JANARATA,GD112300470,BUK068-00,BUKIT,4.74718,96.889894,50,,,,,
11230 - JANARATA,GD112300487,BUK069-00,PABRIK KOPI BATALYON,4.729356,96.830024,50,,,,,
11230 - JANARATA,GD112300206,GJP001-00,TIMANG GAJAH,4.811108,96.739166,50,,,,,
11230 - JANARATA,GD112300208,GJP002-00,TIMANG GAJAH-II,4.803246,96.734267,50,,,,,
